id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun,jenis_rumah_sakit
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.KAB/KOTA,4,UNIT,2019,Rumah Sakit Umum
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,TNI/POLRI,1,UNIT,2019,Rumah Sakit Umum
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUMN,0,UNIT,2019,Rumah Sakit Umum
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,18,UNIT,2019,Rumah Sakit Umum
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.PROV,1,UNIT,2019,Rumah Sakit Umum
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.KAB/KOTA,2,UNIT,2019,Rumah Sakit Umum
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUMN,0,UNIT,2019,Rumah Sakit Umum
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,4,UNIT,2019,Rumah Sakit Umum
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENKES,0,UNIT,2019,Rumah Sakit Umum
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENTERIAN LAIN,0,UNIT,2019,Rumah Sakit Umum
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.PROV,0,UNIT,2019,Rumah Sakit Umum
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.KAB/KOTA,3,UNIT,2019,Rumah Sakit Umum
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TNI/POLRI,0,UNIT,2019,Rumah Sakit Umum
