id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENKES,0,UNIT,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMENTERIAN LAIN,0,UNIT,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.PROV,0,UNIT,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEM.KAB/KOTA,4,UNIT,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,TNI/POLRI,1,UNIT,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUMN,0,UNIT,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,18,UNIT,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENKES,0,UNIT,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.PROV,1,UNIT,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEM.KAB/KOTA,2,UNIT,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TNI/POLRI,0,UNIT,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUMN,0,UNIT,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,4,UNIT,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENKES,0,UNIT,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENTERIAN LAIN,0,UNIT,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.PROV,0,UNIT,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.KAB/KOTA,3,UNIT,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TNI/POLRI,0,UNIT,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUMN,0,UNIT,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,1,UNIT,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENKES,0,UNIT,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENTERIAN LAIN,0,UNIT,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.PROV,1,UNIT,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.KAB/KOTA,3,UNIT,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TNI/POLRI,1,UNIT,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUMN,0,UNIT,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,3,UNIT,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENKES,0,UNIT,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENTERIAN LAIN,0,UNIT,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.PROV,1,UNIT,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.KAB/KOTA,1,UNIT,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,TNI/POLRI,1,UNIT,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,BUMN,0,UNIT,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,3,UNIT,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENKES,0,UNIT,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.PROV,0,UNIT,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TNI/POLRI,0,UNIT,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUMN,0,UNIT,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,0,UNIT,2019
