kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah_ warga_terdaftar_bpjs,satuan,tahun,id
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190006.0,WANAHERANG,32.01.02,GUNUNG PUTRI,32.01.02.2001,WANAHERANG,16721.0,ORANG,2019.0,1
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190010.0,BOJONG KULUR,32.01.02,GUNUNG PUTRI,32.01.02.2002,BOJONG KULUR,700.0,ORANG,2019.0,2
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190009.0,CIANGSANA,32.01.02,GUNUNG PUTRI,32.01.02.2003,CIANGSANA,4230.0,ORANG,2019.0,3
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190002.0,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,32.01.02.2004,GUNUNG PUTRI,13412.0,ORANG,2019.0,4
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190004.0,BOJONG NANGKA,32.01.02,GUNUNG PUTRI,32.01.02.2005,BOJONG NANGKA,10000.0,ORANG,2019.0,5
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190003.0,TLAJUNG UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2006,TLAJUNG UDIK,10000.0,ORANG,2019.0,6
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190005.0,CICADAS,32.01.02,GUNUNG PUTRI,32.01.02.2007,CICADAS,82.0,ORANG,2019.0,7
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190007.0,CIKEAS UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2008,CIKEAS UDIK,700.0,ORANG,2019.0,8
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190008.0,NAGRAK,32.01.02,GUNUNG PUTRI,32.01.02.2009,NAGRAK,10000.0,ORANG,2019.0,9
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190001.0,KARANGGAN,32.01.02,GUNUNG PUTRI,32.01.02.2010,KARANGGAN,5000.0,ORANG,2019.0,10
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200014.0,PUSPASARI,32.01.03,CITEUREUP,32.01.03.2001,PUSPASARI,9896.0,ORANG,2019.0,11
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200012.0,CITEUREUP,32.01.03,CITEUREUP,32.01.03.2002,CITEUREUP,8200.0,ORANG,2019.0,12
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200006.0,LEUWINUTUG,32.01.03,CITEUREUP,32.01.03.2003,LEUWINUTUG,9851.0,ORANG,2019.0,13
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200003.0,TAJUR,32.01.03,CITEUREUP,32.01.03.2004,TAJUR,3891.0,ORANG,2019.0,14
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200007.0,SANJA,32.01.03,CITEUREUP,32.01.03.2005,SANJA,6000.0,ORANG,2019.0,15
